id,name,gender,category,country,era,role,faceShape,deskripsi_fisik,keywords_tags,eyeRatio,jaw,gonionRatio,chinRatio,noseRatio,lipRatio,browArch,foreheadRatio,smile,comment,traits,ciri_khusus,local_photo
celeb_0001,Albert Einstein,Laki-laki,Tokoh Sejarah & Ilmuwan,Jerman 🇩🇪,Modern (1879-1955),Fisikawan Teoretis & Penemu Relativitas,Oblong / Regal,"Albert Einstein (Fisikawan Teoretis & Penemu Relativitas) menampilkan profil visual berkarakter dengan struktur wajah Oblong / Regal. Fokus pandangan ditandai oleh tatapan jenius penuh imajinasi, diselaraskan oleh dahi lebar pemikir, menyatu dengan garis dahi. Pada area midface, tampak hidung mancung tegas dengan batang hidung tinggi berwibawa, berpadu serasi dengan bibir proporsional simetris dengan senyuman simpul hangat bersahaja yang bersahabat. Garis bawah wajah dipertegas oleh dagu memanjang terdefinisi khas kontur wajah regal bangsawan dan pemikir, disempurnakan oleh kumis khas & ekspresif. Ciri khas yang paling menonjol pada penampilannya meliputi Kumis khas & ekspresif.","albert, albert_einstein, asal_jerman, bibir_proporsional, dagu_berwibawa, dagu_memanjang, dahi_lebar_pemikir, einstein, fisikawan, hidung_batang_tinggi, hidung_mancung, hidung_tegas, kontur_regal, kumis_khas_ekspresif, laki_laki, penemu, pria, relativitas, senyum_hangat, senyum_simpul, tatapan_fokus, tatapan_jenius_penuh_imajinasi, teoretis, tokoh_sejarah_ilmuwan, wajah_oblong_regal",0.339,0.55,0.682,0.605,0.309,0.324,0.097,0.285,0.638,Aura kecerdasan teoretis mendalam dan daya kreasi luar biasa!,Tatapan jenius penuh imajinasi; Dahi lebar pemikir; Kumis khas & ekspresif,Kumis khas & ekspresif,/assets/celebs_cache/albert_einstein.jpg
celeb_0002,Isaac Newton,Laki-laki,Tokoh Sejarah & Ilmuwan,Inggris 🇬🇧,Klasik (1643-1727),Bapak Fisika Klasik & Kalkulus,Oval,"Merepresentasikan figur Bapak Fisika Klasik & Kalkulus, Isaac Newton memiliki proporsi wajah Oval yang harmonis. Karakteristik utamanya terpancar dari sorot mata fokus analitis berpadu dengan alis tebal natural berkarakter maskulin dengan proporsi simetris. Struktur hidung terlihat garis hidung tegas, berdampingan dengan bibir proporsional simetris dengan garis bibir tenang terkatup rapat mencerminkan keteguhan prinsip. Kontur rahang diperkuat oleh dagu oval proporsional menyatu dengan lekukan rahang yang mulus dan disempurnakan oleh gaya rambut rapi teratur berkarakter maskulin klasik, mencerminkan identitas visual yang khas (Bentuk wajah simetris klasik).","alis_maskulin, alis_natural, alis_tebal, asal_inggris, bapak, bentuk_wajah_simetris_klasik, bibir_proporsional, bibir_terkatup_tegas, dagu_oval, ekspresi_tenang, fisika, garis_hidung_tegas, isaac, isaac_newton, kalkulus, klasik, laki_laki, newton, pria, rahang_proporsional, rambut_rapi_klasik, sorot_mata_fokus_analitis, tokoh_sejarah_ilmuwan, wajah_oval",0.371,0.537,0.713,0.645,0.256,0.345,0.096,0.293,0.364,Pikiran analitis tajam dan ketelitian tinggi dalam memecahkan masalah!,Sorot mata fokus analitis; Garis hidung tegas; Bentuk wajah simetris klasik,Bentuk wajah simetris klasik,/assets/celebs_cache/isaac_newton.jpg
celeb_0003,Nikola Tesla,Laki-laki,Tokoh Sejarah & Ilmuwan,Serbia/AS 🇷🇸🇺🇸,Modern (1856-1943),Visioner Listrik AC & Penemu Besar,Diamond / Chiseled,"Dengan arsitektur wajah Diamond / Chiseled, Nikola Tesla mengekspresikan aura Visioner Listrik AC & Penemu Besar. Visual wajah menampilkan tatapan mata futuristik serta alis melengkung tinggi (high-arch) anggun dan presisi. Keseimbangan fitur wajah terlihat dari hidung mancung lurus klasik dengan garis tulang hidung tegas dan bentuk bibir proporsional simetris dengan garis bibir tenang terkatup rapat mencerminkan keteguhan prinsip. Siluet wajah dibingkai oleh garis rahang tirus tegas dengan tatanan gaya rambut rapi teratur berkarakter maskulin klasik, memberikan kesan autentik didukung oleh Proporsi wajah terdefinisi.","alis_high_arch, alis_melengkung, asal_serbia, besar, bibir_proporsional, bibir_terkatup_tegas, ekspresi_tenang, garis_rahang_tirus_tegas, hidung_lurus_klasik, hidung_mancung, laki_laki, listrik, nikola, nikola_tesla, penemu, pria, proporsi_wajah_terdefinisi, rambut_rapi_klasik, tatapan_fokus, tatapan_mata_futuristik, tesla, tokoh_sejarah_ilmuwan, visioner, wajah_diamond_chiseled",0.408,0.65,0.67,0.614,0.264,0.301,0.119,0.3,0.335,Aura inovator futuristik yang melihat puluhan tahun ke masa depan!,Garis rahang tirus tegas; Tatapan mata futuristik; Proporsi wajah terdefinisi,Proporsi wajah terdefinisi,/assets/celebs_cache/nikola_tesla.jpg
celeb_0004,Galileo Galilei,Laki-laki,Tokoh Sejarah & Ilmuwan,Italia 🇮🇹,Renaisans (1564-1642),Bapak Astronomi Observasional,Round / Soft,"Karakteristik visual Galileo Galilei (Bapak Astronomi Observasional) ditandai oleh geometri wajah Round / Soft. Penampilan diperkuat oleh sorot mata pengamat tajam yang dipadukan dengan garis dahi intelektual, menyatu dengan garis dahi. Di bagian tengah wajah, terdapat hidung proporsional natural seimbang selaras dengan lebar cuping ideal yang selaras dengan bibir proporsional simetris dengan garis senyum tipis rileks dan proporsional. Bagian bawah wajah menonjolkan dagu persegi kokoh dengan rahang menyudut tegas maskulin, dilengkapi oleh gaya rambut rapi teratur berkarakter maskulin klasik, serta diperkaya oleh sentuhan Wajah penuh kebijaksanaan.","asal_italia, astronomi, bapak, bibir_proporsional, dagu_persegi, galilei, galileo, galileo_galilei, garis_dahi_intelektual, hidung_natural, hidung_proporsional, laki_laki, mata_tajam, observasional, pria, rahang_kokoh, rahang_menyudut, rambut_rapi_klasik, senyum_proporsional, senyum_tipis, sorot_mata_pengamat_tajam, tokoh_sejarah_ilmuwan, wajah_penuh_kebijaksanaan, wajah_round_soft",0.392,0.563,0.759,0.698,0.259,0.363,0.109,0.303,0.508,Ketajaman observasi dan keberanian mengeksplorasi kebenaran!,Sorot mata pengamat tajam; Garis dahi intelektual; Wajah penuh kebijaksanaan,Wajah penuh kebijaksanaan,/assets/celebs_cache/galileo_galilei.jpg
celeb_0005,Alan Turing,Laki-laki,Tokoh Sejarah & Ilmuwan,Inggris 🇬🇧,Modern (1912-1954),Bapak Ilmu Komputer & AI Modern,Square / Angular,"Menampilkan pesona autentik Alan Turing (Bapak Ilmu Komputer & AI Modern) dengan arsitektur wajah Square / Angular yang harmonis. Fokus pandangan ditandai oleh tatapan pemecah kode logis, diselaraskan oleh alis lurus mendatar (straight-brow) tegas maskulin. Pada area midface, tampak hidung mancung lurus klasik dengan garis tulang hidung tegas, berpadu serasi dengan bentuk bibir tegas. Garis bawah wajah dipertegas oleh struktur rahang berkarakter, disempurnakan oleh gaya rambut rapi teratur berkarakter maskulin klasik dengan ciri khas Proporsi simetri wajah yang seimbang.","alan, alan_turing, alis_lurus, alis_tegas, asal_inggris, bapak, bentuk_bibir_tegas, hidung_lurus_klasik, hidung_mancung, ilmu, komputer, laki_laki, modern, pria, proporsi_simetri_wajah_yang_seimbang, rambut_rapi_klasik, struktur_rahang_berkarakter, tatapan_fokus, tatapan_pemecah_kode_logis, tokoh_sejarah_ilmuwan, turing, wajah_square_angular",0.377,0.701,0.833,0.779,0.288,0.263,0.077,0.297,0.383,Pola pikir logika algoritma tingkat tinggi dan visi revolusioner komputasi!,Struktur rahang berkarakter; Tatapan pemecah kode logis; Bentuk bibir tegas,Proporsi simetri wajah yang seimbang,/assets/celebs_cache/alan_turing.jpg
celeb_0006,Charles Darwin,Laki-laki,Tokoh Sejarah & Ilmuwan,Inggris 🇬🇧,Modern (1809-1882),Bapak Teori Evolusi Biologi,Oblong / Regal,"Charles Darwin (Bapak Teori Evolusi Biologi) menampilkan profil visual berkarakter dengan struktur wajah Oblong / Regal. Fokus pandangan ditandai oleh sorot mata observatif mendalam, diselaraskan oleh alis lebat berkarakter, menyatu dengan garis dahi. Pada area midface, tampak hidung mancung tegas dengan batang hidung tinggi berwibawa, berpadu serasi dengan bibir tipis proporsional dengan garis senyum tipis rileks dan proporsional. Garis bawah wajah dipertegas oleh proporsi wajah klasik, disempurnakan oleh gaya rambut rapi teratur berkarakter maskulin klasik. Ciri khas yang paling menonjol pada penampilannya meliputi Proporsi simetri wajah yang seimbang.","alis_lebat_berkarakter, asal_inggris, bapak, bibir_tipis, biologi, charles, charles_darwin, darwin, evolusi, hidung_batang_tinggi, hidung_mancung, hidung_tegas, laki_laki, pria, proporsi_simetri_wajah_yang_seimbang, proporsi_wajah_klasik, rambut_rapi_klasik, senyum_proporsional, senyum_tipis, sorot_mata_observatif_mendalam, teori, tokoh_sejarah_ilmuwan, wajah_oblong_regal",0.355,0.521,0.687,0.605,0.295,0.3,0.076,0.296,0.55,Daya analisis alamiah tinggi dan keuletan riset luar biasa!,Alis lebat berkarakter; Sorot mata observatif mendalam; Proporsi wajah klasik,Proporsi simetri wajah yang seimbang,/assets/celebs_cache/charles_darwin.jpg
celeb_0007,Leonardo da Vinci,Laki-laki,Tokoh Sejarah & Ilmuwan,Italia 🇮🇹,Renaisans (1452-1519),Polimatik Renaisans Terhebat,Oblong / Regal,"Merepresentasikan figur Polimatik Renaisans Terhebat, Leonardo da Vinci memiliki proporsi wajah Oblong / Regal yang harmonis. Karakteristik utamanya terpancar dari sorot mata universal berpadu dengan alis tebal natural berkarakter maskulin dengan proporsi simetris. Struktur hidung terlihat hidung proporsional natural seimbang selaras dengan lebar cuping ideal, berdampingan dengan bibir tipis proporsional dengan garis senyum tipis rileks dan proporsional. Kontur rahang diperkuat oleh dagu memanjang terdefinisi khas kontur wajah regal bangsawan dan pemikir dan disempurnakan oleh gaya rambut rapi teratur berkarakter maskulin klasik, mencerminkan identitas visual yang khas (Harmoni fitur wajah sempurna, Proporsi rasio emas).","alis_maskulin, alis_natural, alis_tebal, asal_italia, bibir_tipis, dagu_berwibawa, dagu_memanjang, harmoni_fitur_wajah_sempurna, hidung_natural, hidung_proporsional, kontur_regal, laki_laki, leonardo, leonardo_da_vinci, polimatik, pria, proporsi_rasio_emas, rambut_rapi_klasik, renaisans, senyum_proporsional, senyum_tipis, sorot_mata_universal, terhebat, tokoh_sejarah_ilmuwan, vinci, wajah_oblong_regal",0.359,0.55,0.723,0.595,0.287,0.3,0.1,0.318,0.559,Kombinasi langka antara seni estetika tinggi dan sains presisi!,Harmoni fitur wajah sempurna; Sorot mata universal; Proporsi rasio emas,"Harmoni fitur wajah sempurna, Proporsi rasio emas",/assets/celebs_cache/leonardo_da_vinci.jpg
celeb_0008,Aristoteles,Laki-laki,Tokoh Sejarah & Ilmuwan,Yunani 🇬🇷,Kuno (384-322 SM),Filsuf Logika & Sains Klasik,Square / Angular,"Dengan arsitektur wajah Square / Angular, Aristoteles mengekspresikan aura Filsuf Logika & Sains Klasik. Visual wajah menampilkan mata penuh dialektika serta dahi filosofis, menyatu dengan garis dahi. Keseimbangan fitur wajah terlihat dari hidung proporsional natural seimbang selaras dengan lebar cuping ideal dan bentuk bibir tipis proporsional dengan garis senyum tipis rileks dan proporsional. Siluet wajah dibingkai oleh garis rahang kokoh dengan tatanan gaya rambut rapi teratur berkarakter maskulin klasik, memberikan kesan autentik didukung oleh Proporsi simetri wajah yang seimbang.","aristoteles, asal_yunani, bibir_tipis, dahi_filosofis, filsuf, garis_rahang_kokoh, hidung_natural, hidung_proporsional, klasik, laki_laki, logika, mata_penuh_dialektika, pria, proporsi_simetri_wajah_yang_seimbang, rambut_rapi_klasik, sains, senyum_proporsional, senyum_tipis, tokoh_sejarah_ilmuwan, wajah_square_angular",0.367,0.69,0.849,0.772,0.261,0.282,0.078,0.293,0.491,Struktur pemikiran metodologis kuat dan wawasan multidisiplin!,Garis rahang kokoh; Dahi filosofis; Mata penuh dialektika,Proporsi simetri wajah yang seimbang,/assets/celebs_cache/aristoteles.jpg
celeb_0009,Plato,Laki-laki,Tokoh Sejarah & Ilmuwan,Yunani 🇬🇷,Kuno (428-348 SM),Pendiri Akademi Athena & Filsuf,Oblong / Regal,"Karakteristik visual Plato (Pendiri Akademi Athena & Filsuf) ditandai oleh geometri wajah Oblong / Regal. Penampilan diperkuat oleh tatapan idealisme mendalam yang dipadukan dengan alis lurus mendatar (straight-brow) tegas maskulin. Di bagian tengah wajah, terdapat hidung mancung tegas dengan batang hidung tinggi berwibawa yang selaras dengan bibir proporsional simetris dengan garis senyum tipis rileks dan proporsional. Bagian bawah wajah menonjolkan proporsi wajah agung, dilengkapi oleh gaya rambut rapi teratur berkarakter maskulin klasik, serta diperkaya oleh sentuhan Karisma pemikir agung.","akademi, alis_lurus, alis_tegas, asal_yunani, athena, bibir_proporsional, filsuf, hidung_batang_tinggi, hidung_mancung, hidung_tegas, karisma_pemikir_agung, laki_laki, pendiri, plato, pria, proporsi_wajah_agung, rambut_rapi_klasik, senyum_proporsional, senyum_tipis, tatapan_fokus, tatapan_idealisme_mendalam, tokoh_sejarah_ilmuwan, wajah_oblong_regal",0.346,0.566,0.702,0.639,0.317,0.307,0.078,0.295,0.46,Visi filosofis idealis dan ketajaman merumuskan konsep abstrak!,Tatapan idealisme mendalam; Proporsi wajah agung; Karisma pemikir agung,Karisma pemikir agung,/assets/celebs_cache/plato.jpg
celeb_0010,Socrates,Laki-laki,Tokoh Sejarah & Ilmuwan,Yunani 🇬🇷,Kuno (470-399 SM),Bapak Filsafat Moral Barat,Round / Soft,"Menampilkan pesona autentik Socrates (Bapak Filsafat Moral Barat) dengan arsitektur wajah Round / Soft yang harmonis. Fokus pandangan ditandai oleh mata kritis menyelidik, diselaraskan oleh alis tebal natural berkarakter maskulin dengan proporsi simetris. Pada area midface, tampak hidung mungil ramping proporsional dengan lekukan ujung halus natural, berpadu serasi dengan senyum ironi filosofis. Garis bawah wajah dipertegas oleh dagu membulat halus menciptakan transisi garis pipi yang lembut, disempurnakan oleh gaya rambut rapi teratur berkarakter maskulin klasik dengan ciri khas Fitur wajah penuh karakter.","alis_maskulin, alis_natural, alis_tebal, asal_yunani, bapak, barat, dagu_membulat, filsafat, fitur_wajah_penuh_karakter, hidung_halus, hidung_mungil, hidung_ramping, kontur_lembut, laki_laki, mata_kritis_menyelidik, moral, pipi_penuh, pria, rambut_rapi_klasik, senyum_ironi_filosofis, socrates, tokoh_sejarah_ilmuwan, wajah_round_soft",0.376,0.576,0.741,0.722,0.239,0.4,0.095,0.285,0.528,Daya kritis analitis yang selalu menantang asumsi dasar!,Mata kritis menyelidik; Senyum ironi filosofis; Fitur wajah penuh karakter,Fitur wajah penuh karakter,/assets/celebs_cache/socrates.jpg
